X,Y,ESTACAO,TIPO_ESTAC,TEMA,UF,MUNICIPIO,GEOCODIGO,SITUACAO,VISITA,LATITUDE,LONGITUDE,FONTECOORD,DATUM_PLAN,CONEX_GPS,CONEX_RN,CONEX_EG,ALTGEOM,FONTALTGEO,MEDICAOPLA,DATCALCPLA,ALT_ORTO,ALT_NORMAL,SIGMALT_RN,NUM_GEOPOT,DATUM_ALT,FONT_ALT,MEDICAOALT,CALCULOALT,GRAVIDADE,MEDICAOGRA,CALCULOGRA,NOTA,icon_url
-43.1677777778,-22.7869444444,3100F,R,RN,RJ,Rio de Janeiro,"3304557",BOM,24/09/2004,-22.786944444400000,-43.167777777799998,GPS Navegação,SIRGAS2000,,,,,,2004/09/24,,,,,,,,,,,,,"Esta RN pertence a uma linha que forma circuitos cujos erros de fechamento não atendem às especificações de alta precisão. Portanto, seu ajustamento não pode ser realizado, nem mesmo de forma separada em relação ao bloco principal do REALT-2018.",./0.png
-42.7827777778,-22.8966666667,1010V,R,RN,RJ,Maricá,"3302700",DESTRUÍDO (SEM CHAPA),21/06/2011,-22.896666666700000,-42.782777777800000,Carta não Especificada,SIRGAS2000,,,,,,1971/02/03,,,"29,2003","0,074","285,816",Imbituba,Nivelamento Geométrico,1971/02/03,2018/07/30,,,,,./0.png
-43.0338888889,-22.8838888889,1009A,R,RN,RJ,Niterói,"3303302",NÃO ENCONTRADO,28/06/2017,-22.883888888900000,-43.033888888900002,Não Especificada,SIRGAS2000,,,,,,1970/10/19,,,"33,0532","0,081","323,528",Imbituba,Nivelamento Geométrico,1970/10/19,2019/06/12,,,,"Esta RN pertence a uma linha que forma circuitos cujos erros de fechamento não atendem às especificações de alta precisão. Portanto, seu ajustamento foi realizado separadamente em relação ao bloco principal do REALT-2018. Assim, recomenda-se a adoção de",./0.png
-43.0288888889,-22.8930555556,1009C,R,RN,RJ,Niterói,"3303302",NÃO ENCONTRADO,28/06/2017,-22.893055555600000,-43.028888888899999,Carta 1:50000,SIRGAS2000,,,,,,1970/10/24,,,"93,3257","0,080","913,472",Imbituba,Nivelamento Geométrico,1970/10/24,2019/06/12,,,,"Esta RN pertence a uma linha que forma circuitos cujos erros de fechamento não atendem às especificações de alta precisão. Portanto, seu ajustamento foi realizado separadamente em relação ao bloco principal do REALT-2018. Assim, recomenda-se a adoção de",./0.png
-43.0772222222,-22.9136111111,1009D,R,RN,RJ,Niterói,"3303302",NÃO ENCONTRADO,28/06/2017,-22.913611111100000,-43.077222222200000,Carta 1:50000,SIRGAS2000,,,,,,1970/10/26,,,"36,6046","0,080","358,290",Imbituba,Nivelamento Geométrico,1970/10/26,2019/06/12,,,,"Esta RN pertence a uma linha que forma circuitos cujos erros de fechamento não atendem às especificações de alta precisão. Portanto, seu ajustamento foi realizado separadamente em relação ao bloco principal do REALT-2018. Assim, recomenda-se a adoção de",./0.png
-43.0944444444,-22.9219444444,1009E,R,RN,RJ,Niterói,"3303302",BOM,21/04/2019,-22.921944444400001,-43.094444444399997,GPS Navegação,SIRGAS2000,,,"8111759",,,2018/08/10,,,"17,0753","0,075","167,135",Imbituba,Nivelamento Geométrico,2019/04/21,2019/12/04,"978.789,85",26/05/1999,22/11/2011,,./0.png
-43.0944444444,-22.9219444444,"8111759",E,EG,RJ,Niterói,"3303302",BOM,21/04/2019,-22.921944444400001,-43.094444444399997,GPS Navegação,SIRGAS2000,,1009E,,,,2018/08/10,,,"17,0753","0,075","167,135",Imbituba,Nivelamento Geométrico,2019/04/21,2019/12/04,"978.789,85",26/05/1999,22/11/2011,,./0.png
-43.1011111111,-22.935,1009F,R,RN,RJ,Niterói,"3303302",BOM,14/04/2019,-22.934999999999999,-43.101111111100003,GPS Navegação,SIRGAS2000,,,"8111760",,,2017/06/28,,,"2,4875","0,075","24,348",Imbituba,Nivelamento Geométrico,2019/04/14,2019/12/04,"978.794,66",26/05/1999,22/11/2011,,./0.png
-43.1011111111,-22.935,"8111760",E,EG,RJ,Niterói,"3303302",BOM,14/04/2019,-22.934999999999999,-43.101111111100003,GPS Navegação,SIRGAS2000,,1009F,,,,2017/06/28,,,"2,4875","0,075","24,348",Imbituba,Nivelamento Geométrico,2019/04/14,2019/12/04,"978.794,66",26/05/1999,22/11/2011,,./0.png
-43.1195138889,-22.9266666667,1009G,R,RN,RJ,Niterói,"3303302",BOM,15/08/2018,-22.926666666700001,-43.119513888900002,GPS Navegação,SIRGAS2000,,,"8111762",,,2018/08/15,,,"2,4799","0,073","24,274",Imbituba,Nivelamento Geométrico,2003/05/22,2018/07/30,"978.793,64",26/05/1999,22/11/2011,,./0.png
-43.1195138889,-22.9266666667,"8111762",E,EG,RJ,Niterói,"3303302",BOM,15/08/2018,-22.926666666700001,-43.119513888900002,GPS Navegação,SIRGAS2000,,1009G,,,,2018/08/15,,,"2,4799","0,073","24,274",Imbituba,Nivelamento Geométrico,2003/05/22,2018/07/30,"978.793,64",26/05/1999,22/11/2011,,./0.png
-43.1257638889,-22.9338944444,1009H,R,RN,RJ,Niterói,"3303302",DESTRUÍDO,15/08/2018,-22.933894444400000,-43.125763888900003,GPS Navegação,SIRGAS2000,,,"8111757",,,2018/08/15,,,"14,6126","0,073","143,030",Imbituba,Nivelamento Geométrico,1995/06/22,2018/07/30,"978.791,35",25/05/1999,22/11/2011,,./0.png
-43.1257638889,-22.9338944444,"8111757",E,EG,RJ,Niterói,"3303302",DESTRUÍDO,15/08/2018,-22.933894444400000,-43.125763888900003,GPS Navegação,SIRGAS2000,,1009H,,,,2018/08/15,,,"14,6126","0,073","143,030",Imbituba,Nivelamento Geométrico,1995/06/22,2018/07/30,"978.791,35",25/05/1999,22/11/2011,,./0.png
